year,deforestation_ha,reforestation_ha,forest_stock_ha,net_change_ha,net_loss_rate_ha
2055,0.004585091152735953,0.9280146588017834,9232572.460195934,0.9234295676490474,-0.9234295676490474
2056,0.004584727136082248,7615.59170695691,9245568.352778623,7615.587122229774,-7615.587122229774
2057,0.004224442315204237,16943.251653154814,9265564.809298197,16943.247428712497,-16943.247428712497
2058,0.005262962152148408,5846.0837467288675,9293940.553848108,5846.078483766715,-5846.078483766715
2059,0.0056542492613337,2835.975393011884,9309866.128348162,2835.969738762623,-2835.969738762623
2060,0.0052543531033219775,768.3174471072526,9322018.523831889,768.3121927541494,-768.3121927541494
2061,0.004263862532777017,3665.2905223382754,9331519.186644318,3665.2862584757427,-3665.2862584757427
2062,0.005334939201822998,0.3230396503403342,9343459.114704952,0.31770471113851123,-0.31770471113851123
2063,0.004432564303786503,1.377532184325017,9351157.502733527,1.3730996200212304,-1.3730996200212304
2064,0.004498545216856027,0.16565254795888773,9358484.400228089,0.1611540027420317,-0.1611540027420317
2065,0.003060069573293553,1510.5208777336843,9365454.937870799,1510.517817664111,-1510.517817664111
2066,0.002314298606788379,2917.8066569150296,9373597.433143644,2917.8043426164227,-2917.8043426164227
2067,0.002784025386988676,206.0534580130892,9382751.273150615,206.0506739877022,-206.0506739877022
2068,0.0010067911860400726,514.8314814226896,9388747.406146294,514.8304746315036,-514.8304746315036
2069,0.0028805192757166147,2060.598618466742,9394759.723473404,2060.5957379474667,-2060.5957379474667
2070,0.0024763133846754373,2852.0896411123695,9402024.040849242,2852.0871647989848,-2852.0871647989848
2071,0.0032640173295929126,1454.8293320813623,9409724.40340015,1454.8260680640326,-1454.8260680640326
2072,8.315500290749092e-07,0.009454461813739948,9415650.116227988,0.009453630263710874,-0.009453630263710874
2073,0.0003831583702479106,49.194748178230235,9419830.173012892,49.19436501985999,-49.19436501985999
2074,3.7603587646731315e-07,241.9765647065504,9423854.031352744,241.97656433051452,-241.97656433051452
2075,0.00039201476559636434,172.76308940467072,9427872.789462378,172.76269738990513,-172.76269738990513
2076,0.0018756946638100393,242.15170757909007,9431624.531978756,242.14983188442625,-242.14983188442625
2077,0.001883234481429228,0.1847981458338768,9435260.848871559,0.18291491135244756,-0.18291491135244756
2078,0.0022764824827867965,116.39217493500087,9438475.930618213,116.38989845251808,-116.38989845251808
2079,0.0020793687835982365,1060.9980188414388,9441648.601822002,1060.9959394726552,-1060.9959394726552
2080,0.001418029763143004,384.3753181490135,9445609.247219482,384.3739001192503,-384.3739001192503
2081,0.0024599404090616377,1102.6951489232274,9448697.58847448,1102.6926889828183,-1102.6926889828183
2082,0.00431357693187998,953.2228282101836,9452351.549437486,953.2185146332517,-953.2185146332517
2083,0.003613152810653,4315.541075676728,9455675.241138976,4315.537462523917,-4315.537462523917
2084,0.004933112895492018,3959.8303744995947,9462196.676101139,3959.8254413866994,-3959.8254413866994
2085,1.4407462519398769e-06,6783.585028378496,9468039.146204323,6783.58502693775,-6783.58502693775
2086,0.0034492362447006244,3.6593662480043943,9476415.397625385,3.6559170117596937,-3.6559170117596937
2087,0.002905999623193063,0.06567237109561436,9477595.356116552,0.0627663714724213,-0.0627663714724213
2088,0.06791113479294036,377.50666272129996,9478713.009139897,377.438751586507,-377.438751586507
2089,0.0024684131697287745,3705.030940777801,9480152.41250828,3705.028472364631,-3705.028472364631
2090,1.1346999313091354e-05,892.2379384420416,9484847.747056656,892.2379270950423,-892.2379270950423
2091,0.003294587554595098,108.43964209071991,9486496.389258448,108.43634750316532,-108.43634750316532
2092,0.004219550768001757,0.10448301338891638,9487279.046419328,0.10026346262091462,-0.10026346262091462
2093,0.0038890662548226418,212.80748346812058,9487914.342663614,212.80359440186575,-212.80359440186575
2094,8.345750426594924e-06,147.88425693139646,9488730.660371607,147.88424858564605,-147.88424858564605
2095,3.5009875334979275e-06,1172.7240219777325,9489441.343191003,1172.724018476745,-1172.724018476745
2096,0.0018302232298959885,381.79937979181176,9491141.41328554,381.79754956858187,-381.79754956858187
2097,0.0005298694618772658,166.28426978559423,9491965.72714684,166.28373991613236,-166.28373991613236
2098,0.11993738543906207,880.2674704178547,9492533.38479499,880.1475330324157,-880.1475330324157
2099,0.00740597284738954,0.5969363649350652,9493786.569665415,0.5895303920876757,-0.5895303920876757
2100,0.0059680724654827,3213.222189116074,9494097.627519293,3213.2162210436086,-3213.2162210436086
2101,5.722330124295877e-08,0.029108919656537377,9497605.77900647,0.029108862433236134,-0.029108862433236134
2102,0.002138922841582762,0.23290176158447318,9497725.488995038,0.2307628387428904,-0.2307628387428904
2103,1.5213329381720407e-05,0.06796356700130649,9497839.418079702,0.06794835367192477,-0.06794835367192477
2104,4.345685974552003e-07,0.26875968320022203,9497947.490555048,0.2687592486316246,-0.2687592486316246
2105,0.11171051471839252,0.27790884643294356,9498050.362613939,0.16619833171455103,-0.16619833171455103
2106,0.0018735893813718368,44.30611046557856,9498147.990675857,44.304236876197194,-44.304236876197194
2107,1.5163066833723494e-05,0.04302313928288366,9498284.877326632,0.04300797621604994,-0.04300797621604994
2108,0.007078772428776531,80.14523787090278,9498370.66098593,80.138159098474,-80.138159098474
2109,0.17712240019437483,182.94731661019787,9498532.252123386,182.7701942100035,-182.7701942100035
2110,0.026297145594146094,396.7521339839463,9498788.398373088,396.72583683835217,-396.72583683835217
2111,0.016013708286528438,158.99656797312954,9499245.69656507,158.98055426484302,-158.98055426484302
2112,3.0313686259681104e-05,152.71629564125007,9499442.389296483,152.7162653275638,-152.7162653275638
2113,3.239722520097566e-05,4.527890587108814e-05,9499622.984460514,1.2881680670112479e-05,-1.2881680670112479e-05
2114,2.292780627382117e-05,285.4449001555539,9499641.834502261,285.4448772277476,-285.4448772277476
2115,8.380898562557641e-06,0.0735520679881784,9499945.186979204,0.07354368708961584,-0.07354368708961584
2116,2.4689446540862985e-05,0.01349560612300471,9499948.00115812,0.013470916676463848,-0.013470916676463848
2117,0.03652794905958859,3.973306032994955e-05,9499950.6145569,-0.03648821599925864,0.03648821599925864
2118,2.7109646427179636e-06,0.0002138994715521409,9499953.047328003,0.00021118850690942295,-0.00021118850690942295
2119,0.06550175138311905,5.137827441375879e-05,9499955.39516119,-0.06545037310870529,0.06545037310870529
2120,98.52916551960223,0.12355333594408746,9499957.559942286,-98.40561218365815,98.40561218365815
2121,0.09308008989629693,32.79680630510008,9499861.276323508,32.70372621520378,-32.70372621520378
2122,38.64246235657622,109.88235450134265,9499900.916132262,71.23989214476643,-71.23989214476643
2123,0.04414464872280312,0.1972761102680218,9499977.110166123,0.15313146154521867,-0.15313146154521867
